snapshot_date,warehouse_code,material,material_desc,qty_total,value_total
2026-02-23,MAST,4570016,CAMERA VID IP D VIP 3225 SD IR IA G2,4.0,4337.68
2026-02-23,MAST,1887465,PCIM POTENCIA GNB1500VA-220V,82.0,4335.34
2026-02-23,MAST,4750126,ROTEADOR 5G BRANCO GX 3000,4.0,4331.44
2026-02-23,MAST,4670018,FECHADURA S/MACAN IFR 7001+,7.0,4319.7
2026-02-23,MAST,4540055,CENTRAL ALRM INTRUSAO AMT 1000 SMART,42.0,4218.06
2026-02-23,MAST,2882202,PLACA NOBK ATTIV 600VA-BI,76.0,4186.84
2026-02-23,MAST,4565513,CAMERA VIDEO WIFI FULL HD IM3 C BLACK,44.0,4160.64
2026-02-23,MAST,2880348,PLACA BASE MIP 1000 IP,33.0,4116.42
2026-02-23,MAST,4570009,CAMERA VID IP VIP 3216 SD IR IA,4.0,4099.52
2026-02-23,MAST,4590010,CAMERA VID WI-FI FHD IME 500 FC,27.0,4091.85
2026-02-23,MAST,4760114,SWITCH 16P 1000MBPS S1116G,20.0,4084.2
2026-02-23,MAST,4581117,GRAVADOR DIG INVD 5232 16P,3.0,3997.08
2026-02-23,MAST,4543578,CENTRAL ALRM INTRUSAO AMT 2018 E SMART,28.0,3990.28
2026-02-23,MAST,4750149,ROTEADOR EMP WI-FI AP 3000 AX,14.0,3987.76
2026-02-23,MAST,4750107,ROTEADOR EMP WI-FI AP 1250 AC OUTDOOR,15.0,3983.4
2026-02-23,MAST,4580857,GRAVADOR DIG MHDX 1216 AM,14.0,3978.8
2026-02-23,MAST,4590022,CAMERA VID WI-FI IM7-S FC C/MSD,25.0,3975.75
2026-02-23,MAST,4565298,CAMERA TV VHL1120 D,88.0,3950.32
2026-02-23,MAST,4822025,NOBREAK DNB 3.0KVA-220V-RT,3.0,3936.15
2026-02-23,MAST,4581176,GRAVADOR DIG INVD 3016,8.0,3871.52
2026-02-23,MAST,1870968,INVERSOR ON GRID 15KW IONS-15K T2 AFCI,1.0,3844.56
2026-02-23,MAST,4520058,VIDEO PORTEIRO ALLO WT7 LITE,8.0,3791.6
2026-02-23,MAST,4950712,MONITOR P/VIDEO WALL MWL 7255 G2,1.0,3754.18
2026-02-23,MAST,4780056,CONVERSOR PROTOC LAN ONU R1,62.0,3737.36
2026-02-23,MAST,4760104,SWITCH 8P/2P SFP S2310G A,10.0,3711.6
2026-02-23,MAST,1888866,PCIM PRINCIPAL CAP-CAB3000,12.0,3701.4
2026-02-23,MAST,2880689,PLACA BASE VID PORT IVR 4/IVR 7 ME,173.0,3690.09
2026-02-23,MAST,4750178,ROTEADOR EMP WI-FI AP 1800 AX,13.0,3608.28
2026-02-23,MAST,4900468,MONITOR P/VID WALL MWL 7255 REM,1.0,3585.71
2026-02-23,MAST,4560085,CAMERA TV VHD 1220 D MIC G8,55.0,3576.1
2026-02-23,MAST,4580314,SISTEMA RASTREM VEIC MVD 3204 W,4.0,3519.48
2026-02-23,MAST,4850029,INTERRUPTOR ELET SMART WIFI BR EWS 1004,51.0,3484.83
2026-02-23,MAST,4760078,SWITCH 24P/4P SFP S3028G PB MAX,2.0,3474.28
2026-02-23,MAST,1887469,PCIM POTENCIA GNB1000VA-220V,74.0,3459.5
2026-02-23,MAST,4842872,MICRO INVERSOR 2000W 220V EGT 2000 MICRO,4.0,3430.2
2026-02-23,MAST,4290047,VIDEO CONFR USB 4K MIC WRS A EVC 2000 G2,2.0,3403.72
2026-02-23,MAST,4750117,EXTENSOR WIFI COM ROT BR-IH 3000,10.0,3375.6
2026-02-23,MAST,2882200,PLACA NOBK ATTIV 600VA-120V,61.0,3337.92
2026-02-23,MAST,1950510,DECODIFICADOR P/VID DWL 7804 G2,1.0,3332.89
2026-02-23,MAST,2882045,CONJUNTO DISPLAY 7POL IV 7010,52.0,3317.08
2026-02-23,MAST,4780121,MODEM OPT AC FRIONLINE WIFIBER 1200R,30.0,3270.0
2026-02-23,MAST,3030241,PCIM PRINCIPAL NVD3316P,20.0,3260.6
2026-02-23,MAST,4570019,CAMERA VID IP B VIP 3260 Z IA,9.0,3258.36
2026-02-23,MAST,4565610,CAMERA VID WIFI FHD IM4 C C/MICROSD 32GB,23.0,3241.62
2026-02-23,MAST,4520819,MODULO INT VID PORT IVR1070/IVR7 MI,22.0,3225.86
2026-02-23,MAST,4660047,AUTOMATIZADOR PORTAO DR400 NY 127V,13.0,3199.95
2026-02-23,MAST,4560021,CAMERA VID WI-FI HD IM1,36.0,3196.8
2026-02-23,MAST,4580964,GRAVADOR DIG NVD 3308 P,6.0,3190.2
2026-02-23,MAST,2882047,CONJUNTO DISPLAY 4.3POL IVR 1010,76.0,3172.24
2026-02-23,MAST,4850013,INTERRUPTOR SMART BR EWS 1001,70.0,3166.8
2026-02-23,MAST,2880572,PLACA CPU AMT 1000 SMART,49.0,3163.44
2026-02-23,MAST,4780072,EXTENSOR HDMI + IR TX E RX VEX 3120 IP,11.0,3116.52
2026-02-23,MAST,2880570,PLACA LACO P/CTIN S/CONFIGURACAO,52.0,3113.76
2026-02-23,MAST,4580771,GRAVADOR DIG MHDX 3108 C,14.0,3109.54
2026-02-23,MAST,2880545,PLACA PRIN IV7010ME V1,58.0,3096.62
2026-02-23,MAST,4780052,MODEM OPTICO 1P PON LAN ONU R1,61.0,3083.55
2026-02-23,MAST,1870775,MICROINV FOTOV 1600W 220V EGT 1600 MICRO,3.0,3073.8
2026-02-23,MAST,4810030,POWER CONV EST VIDEO BALUN VB 3016 WP,6.0,3060.18
2026-02-23,MAST,4760120,SWITCH 10P 1000MBPS S1110G PA,13.0,3059.42
2026-02-23,MAST,4750192,ROTEADOR ACCESS POINT CORP AP 1350 AC-S,10.0,3052.4
2026-02-23,MAST,4581156,GRAVADOR DIG MHDX 1104 C C/SSD 512GB,9.0,3035.79
2026-02-23,MAST,2880544,PLACA PRIN IV7010 HF V5,33.0,3032.04
2026-02-23,MAST,4663003,AUTOMATIZADOR PORTA 3 PRETO PD 300,4.0,3024.0
2026-02-23,MAST,4581155,GRAVADOR DIG MHDX 1108 C C/SSD 512GB,8.0,2994.48
2026-02-23,MASR,4301267,INVERSOR 380V RENO75KNG IN75KRECG REM,20.0,352083.4
2026-02-23,MASR,4600076,DISCO RIG 4TB WD43PURZ,837.0,312736.68
2026-02-23,MASR,4301148,INVERSOR TRIF 380V/60HZ G IN060KEXG,24.0,266509.68
