snapshot_date,warehouse_code,material,material_desc,qty_total,value_total
2026-02-23,MAST,4822209,NOBREAK ATTIV 1200VA-BI,22.0,6376.04
2026-02-23,MAST,4760106,SWITCH 24P/4P SFP S2328G A,12.0,6299.4
2026-02-23,MAST,4750164,ROTEADOR 5G BRANCO BRISANET GX 3000,6.0,6254.94
2026-02-23,MAST,1889573,PCIM POTENCIA XNB 1440VA-BI+ V2,62.0,6235.51
2026-02-23,MAST,1870967,INVERSOR ON GRID 25KW IONS-25K T4 AFCI,1.0,6232.09
2026-02-23,MAST,1889826,PCIM PRINCIPAL CAMERA DC 3201 2K+,62.0,6184.78
2026-02-23,MAST,1870665,INVERSOR ON GRID 25KW EGT 25000 MAX,1.0,6088.88
2026-02-23,MAST,4563145,CAMERA VID VIP 5232 SD IR IA FT,3.0,6081.69
2026-02-23,MAST,2883110,PLACA PORTL TEL TS 3110,249.0,6040.74
2026-02-23,MAST,4290057,PROJETOR FULL HD PFL5211,13.0,6004.83
2026-02-23,MAST,4590012,CAMERA VID WI-FI IM5 S 4M,42.0,5999.7
2026-02-23,MAST,4570021,CAMERA VID IP VIP 5225 SD IR IA G2,4.0,5963.8
2026-02-23,MAST,4580776,GRAVADOR DIG MHDX 1116 C,21.0,5961.06
2026-02-23,MAST,4543589,CENTRAL ALRM CONT-ROUB AMT 8000 PRO,36.0,5951.16
2026-02-23,MAST,4390179,CENTRAL ALRM INTR AMT 2018 E,36.0,5854.68
2026-02-23,MAST,2880595,PLACA DISPLAY P/CTIN WIFI,77.0,5835.83
2026-02-23,MAST,2881046,PLACA PRIN IVR 7 ID ME,142.0,5800.7
2026-02-23,MAST,4780070,EXTENSOR/DIV HDMI + USB VEX 30 0 KVM G2,21.0,5793.06
2026-02-23,MAST,4543516,CENTRAL ALRM S/FIO AMT 8000,28.0,5766.04
2026-02-23,MAST,2011396,MONT FINAL PCI PRIN IM4 C,101.0,5712.56
